,Act1,Act2,counts
5235,Manage emergency operations center (EOC) operations,Integrate and analyze surveillance data,0.0
5236,Manage emergency operations center (EOC) operations,Consider issuing trade restrictions,0.0
5237,Manage emergency operations center (EOC) operations,Staff isolation facilities,0.0
5238,Manage emergency operations center (EOC) operations,Confirm diagnoses,3.0
5239,Manage emergency operations center (EOC) operations,Genetically sequence samples,0.0
5240,Manage emergency operations center (EOC) operations,Compensate impacted populations,1.0
5241,Manage emergency operations center (EOC) operations,Develop SOPs for burials,0.0
5242,Manage emergency operations center (EOC) operations,Perform contact tracing activities,2.0
5243,Manage emergency operations center (EOC) operations,Identify vulnerable populations,0.0
5244,Manage emergency operations center (EOC) operations,Form differential diagnosis,0.0
5245,Manage emergency operations center (EOC) operations,Assessment of surveillance systems,0.0
5246,Manage emergency operations center (EOC) operations,Provide shelter for displaced populations,0.0
5247,Manage emergency operations center (EOC) operations,"""Dispose of animal carcasses, litter, and animal products""",0.0
5248,Manage emergency operations center (EOC) operations,Manage supply chain for consumable medical equipment,0.0
5249,Manage emergency operations center (EOC) operations,Mobilize and train volunteers,0.0
5250,Manage emergency operations center (EOC) operations,Determine mode of transmission,0.0
5251,Manage emergency operations center (EOC) operations,Plan systematic study,0.0
5252,Manage emergency operations center (EOC) operations,"""Test for antiviral, antibiotic, and/or vaccine resistance""",0.0
5253,Manage emergency operations center (EOC) operations,Coordinate with security sector and law enforcement,0.0
5254,Manage emergency operations center (EOC) operations,Initiate attribution investigation,0.0
5255,Manage emergency operations center (EOC) operations,Acquire road transportation vehicles,0.0
5256,Manage emergency operations center (EOC) operations,Carry out screening/testing activities,0.0
5257,Manage emergency operations center (EOC) operations,Quarantine and controls on movement of animals and potentially contaminated vehicles and personnel,0.0
5258,Manage emergency operations center (EOC) operations,Procure diagnostics and laboratory testing material,0.0
5259,Manage emergency operations center (EOC) operations,Transport samples domestically,0.0
5260,Manage emergency operations center (EOC) operations,"""Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required""",0.0
5261,Manage emergency operations center (EOC) operations,Share information and key messages with the public,2.0
5262,Manage emergency operations center (EOC) operations,Strengthen or revise infection prevention and control (IPC) guidelines,0.0
5263,Manage emergency operations center (EOC) operations,Monitor and manage suspected cases,1.0
5264,Manage emergency operations center (EOC) operations,Collect and manage data on security-related threats and events,0.0
5265,Manage emergency operations center (EOC) operations,Share genetic sequence data with international community,0.0
5266,Manage emergency operations center (EOC) operations,Conduct risk assessment,0.0
5267,Manage emergency operations center (EOC) operations,Promote good hygiene practices,0.0
5268,Manage emergency operations center (EOC) operations,Count deaths,3.0
5269,Manage emergency operations center (EOC) operations,Transport or evacuate patients,0.0
5270,Manage emergency operations center (EOC) operations,"""Ensure proper water, sanitation, and hygiene (WASH)""",0.0
5271,Manage emergency operations center (EOC) operations,Develop or update instruments governing public health surveillance and response,0.0
5272,Manage emergency operations center (EOC) operations,Explore fundraising options,0.0
5273,Manage emergency operations center (EOC) operations,Develop hypothesis to explain specific exposure that caused disease,0.0
5274,Manage emergency operations center (EOC) operations,Consider enforcing physical distancing measures of infectious patients,0.0
5275,Manage emergency operations center (EOC) operations,Perform active case finding,0.0
5276,Manage emergency operations center (EOC) operations,Initiate immunization campaign,0.0
5277,Manage emergency operations center (EOC) operations,Conduct and assess statistical analysis,0.0
5278,Manage emergency operations center (EOC) operations,Identify and train local spokespersons,0.0
5279,Manage emergency operations center (EOC) operations,Determine the existence of an outbreak,0.0
5280,Manage emergency operations center (EOC) operations,Empower community to make decisions and implement and manage change,2.0
5281,Manage emergency operations center (EOC) operations,Integrate humanitarian risk and public health data,0.0
5282,Manage emergency operations center (EOC) operations,Assess impacts to local banks and economic systems,0.0
5283,Manage emergency operations center (EOC) operations,Collect case patient information,1.0
